Table 2: Change in Average Work Trip Time Between 1968 and 1988:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,D  E  S  T  I  N  A  T  I  O  N,,,,,,,,
,,,,,,,,,,,,
ORIGIN,       CENTER CITY,,,    INNER SUBURBS,,,    OUTER SUBURBS,,, REGIONAL AVERAGE,,
,,,%,,,%,,,%,,,%
,1968,1988,Change,1968,1988,Change,1968,1988,Change,1968,1988,Change
,,,,,,,,,,,,
,,,,,,,,,,,,
CENTER CITY,31.2,30.5,-2.24358974358974,36.6,28.9,-21.0382513661202,45.3,36,-20.5298013245033,32.2,30.5,-5.27950310559007
,,,,,,,,,,,,
INNER SUBURBS,37.3,35,-6.16621983914208,20.4,22.8,11.764705882353,27,32.3,19.6296296296296,31.1,30.4,-2.25080385852091
,,,,,,,,,,,,
OUTER SUBURBS,45.2,47.7,5.53097345132743,29.4,38.3,30.2721088435374,20.6,25.6,24.2718446601942,33,34.3,3.93939393939393
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: 1968 and 1987/88 Metropolitan Washington Council of Governments Household Travel Surveys,,,,,,,,,,,,
        A.M. Peak: 6-9 A.M.,,,,,,,,,,,,
