,MEAN TRAVEL TIME FOR WASHCOG REGION,,,,,,
,,AM AND PM PEAK PERIOD,,,,,
,,,,,,,
,Home to Work,Work to Home,Home to Other,Other to Home,Work to Other,Other to Work,Other to Other
Drive Alone 1968,28.3,32.5,19.2,17.8,27.3,24.4,17.9
Drive Alone 1988,28.9,32.5,18.6,19.9,26.6,25.8,17.8
Carpool 2 1968,32.3,36.4,17.2,17.9,27.8,25.8,17.1
Carpool 2 1988,31.2,32.3,18.1,18.7,26.4,32.9,17
Carpool 3+ 1968,40.7,47.3,17.3,18.5,32.3,35,15.1
Carpool 3+ 1988,37.8,44.1,16.7,15.1,30.1,33.5,18.2
Walk to Transit 1968,44.3,51.4,39.6,42.8,38.5,36.8,33.5
Walk to Transit 1988,39.6,43.8,36,36.3,37.6,23.9,34.6
Park and Ride 1988,55.5,53.1,36,,,43.7,
Kiss and Ride 1988,49.3,57.4,,,,,
Walk 1988,20.3,19.9,13.6,14,16.8,14.5,18.6
,,,,,,,
,,,,,,,
,Work Trips,Home-Based Nonwork,Work-Based Nonwork,Other-Based Other,,,
Drive Alone 1968,30.4,18.5,25.85,17.9,,,
Drive Alone 1988,30.7,19.25,26.2,17.8,,,
Carpool 2 1968,34.35,17.55,26.8,17.1,,,
Carpool 2 1988,31.75,18.4,29.65,17,,,
Carpool 3+ 1968,44,17.9,33.65,15.1,,,
Carpool 3+ 1988,40.95,15.9,31.8,18.2,,,
Walk to Transit 1968,47.85,41.2,37.65,33.5,,,
Walk to Transit 1988,41.7,36.15,30.75,34.6,,,
Park and Ride 1988,54.3, , , ,,,
Kiss and Ride 1988,53.35, , , ,,,
Walk 1988,20.1,13.8,15.65,18.6,,,
All Modes 1968,34.5,19.15,27.45,17.6,,,
All Modes 1988,34.15,19.6,27.7,18.5,,,
